策略-参数1,策略-参数2,策略-参数3,标的,开始时间,结束时间,保证金,使用金额,起始金额,结束金额,最大回撤,盈亏比,胜率,收益率
MA,10,30,SHFE.au1802,2017-01-15,2018-01-15,20998.0,514724.2263668932,10000000.0,9790500.0,61.28253004653933,0.1313131313131264,0.2857142857142857,-40.70140655292749
MA,20,40,SHFE.au1802,2017-01-15,2018-01-15,20998.0,640934.8441926345,10000000.0,9840600.0,76.30903469290342,1.402298850574685,0.25,-24.869922651933702
MA,20,60,SHFE.au1802,2017-01-15,2018-01-15,20998.0,419960.0,10000000.0,9923700.0,25.0482991037729,0.0,0.0,-18.168396990189542
EMA,5,15,SHFE.au1802,2017-01-15,2018-01-15,20998.0,955243.4885595707,10000000.0,9740800.0,113.73029438036608,0.6872282608695559,0.3076923076923077,-27.1344430089602
EMA,10,30,SHFE.au1802,2017-01-15,2018-01-15,20998.0,664050.5303112675,10000000.0,9811800.0,79.06116419555048,0.4733178654292193,0.25,-28.34121673117
EMA,20,40,SHFE.au1802,2017-01-15,2018-01-15,20998.0,498186.16742613696,10000000.0,9970200.0,59.31352598177647,0.0,0.0,-5.981699603174604
EMA,20,60,SHFE.au1802,2017-01-15,2018-01-15,20998.0,419960.0,10000000.0,9943600.0,40.74274344224408,0.4513888888888667,0.5,-13.429850461948757
VWMA,5,15,SHFE.au1802,2017-01-15,2018-01-15,20998.0,419960.0,10000000.0,10200200.0,17.850557631533846,1.1007751937984402,0.6363636363636364,47.67120678159824
VWMA,10,30,SHFE.au1802,2017-01-15,2018-01-15,20998.0,494297.3360982613,10000000.0,9819000.0,58.8505257760574,0.2516411378555808,0.2857142857142857,-36.61763614360629
VWMA,20,40,SHFE.au1802,2017-01-15,2018-01-15,20998.0,685023.2411565429,10000000.0,9806600.0,81.55815329514036,0.9964664310953936,0.25,-28.232618746405983
VWMA,20,60,SHFE.au1802,2017-01-15,2018-01-15,20998.0,419960.0,10000000.0,9988200.0,24.88823735315684,0.0,0.0,-2.809791408705591
MA+kσ,5,15,SHFE.au1802,2017-01-15,2018-01-15,20998.0,419960.0,10000000.0,10059200.0,31.3944235505558,0.549082202713479,0.6363636363636364,14.096580626726354
MA+kσ,10,30,SHFE.au1802,2017-01-15,2018-01-15,20998.0,419960.0,10000000.0,9916400.0,45.42035356722425,0.0334821428571425,0.4,-19.906657776931137
MA+kσ,20,40,SHFE.au1802,2017-01-15,2018-01-15,20998.0,506264.2312886278,10000000.0,9888100.0,60.275291847869774,0.939759036144565,0.5,-22.103082359813083
MA+kσ,20,60,SHFE.au1802,2017-01-15,2018-01-15,20998.0,422390.2458334983,10000000.0,9891000.0,50.28934253661043,0.0,0.0,-25.805520149953143
MA,5,15,SHFE.au1702,2016-01-15,2017-01-15,20998.0,722230.9258969136,10000000.0,9980300.0,85.98806146977255,1.953422053231928,0.3076923076923077,-2.727659436008677
MA,10,30,SHFE.au1702,2016-01-15,2017-01-15,20998.0,911730.3720554342,10000000.0,9738600.0,108.54966807022504,0.322159730033744,0.5555555555555556,-28.670757058437296
